date,side,symbol,strike,expiry,entry_price,exit_price,pnl
2025-08-07,put,IWM250807C00270000,270.0,2025-08-07,0,0,0
2025-08-07,put,IWM250807C00270000,270.0,2025-08-07,0,0,0
